query,expected_title
"husband becomes main suspect in wife disappearance Ben Affleck","Gone Girl"
"Two magicians engage in competitive one-upmanship Hugh Jackman","The Prestige"
"Batman begins his journey to protect Gotham Christian Bale","Batman Begins"
"Inception dream within a dream heist movie Leonardo DiCaprio","Inception"
"Interstellar space travel to save humanity Matthew McConaughey","Interstellar"
"A group of Boston-bred gangsters set up shop in Florida Ben Affleck","Live by Night"
"CIA specialist plan to free six Americans in Iran Ben Affleck","Argo"
"A guy moves back to Portland mystery of his ex-girlfriend's disappearance","Cold Weather"
"failed marriage fragile mental history artist moves to small-town Pennsylvania","The Cry of the Owl"
"Doug MacRay longtime thief looking for his chance to exit the game","The Town"
"Man with short term memory loss tries to find his wife's killer using tattoos","Memento"
"Secret agent travels through time using inversion to prevent World War III","Tenet"
"U.S. Marshal investigates a psychiatric facility on a remote island Leonardo DiCaprio","Shutter Island"
"An undercover cop and a mole in the police attempt to identify each other","The Departed"
"Intertwined stories of Los Angeles hitmen and a boxer Quentin Tarantino","Pulp Fiction"
"Freed slave turns bounty hunter to rescue his wife from a plantation Jamie Foxx","Django Unchained"
"Retired assassin goes on a rampage after his dog is killed Keanu Reeves","John Wick"
"Noble family becomes embroiled in a war for control of the galaxy's most valuable asset","Dune"
"Story of the American scientist and his role in developing the atomic bomb Cillian Murphy","Oppenheimer"
"Poor family schemes to become employed by a wealthy family by infiltrating their household","Parasite"
"Chinese immigrant is swept up in an insane adventure across the multiverse","Everything Everywhere All at Once"
"Batman faces a psychopathic criminal mastermind known as the Joker","The Dark Knight"
"Insomniac office worker and a soap maker form an underground fight club","Fight Club"
"Computer hacker learns about the true nature of his reality and the war with machines","The Matrix"
"Two detectives hunt a serial killer who uses the seven deadly sins as motifs","Se7en"
"Former Roman General sets out to exact vengeance against the corrupt emperor Russell Crowe","Gladiator"
"A woman rebels against a tyrannical ruler in post-apocalyptic Australia Tom Hardy","Mad Max: Fury Road"
"Promising young drummer enrolls at a cut-throat music conservatory J.K. Simmons","Whiplash"
"Young blade runner unearths a long-buried secret that could plunge society into chaos","Blade Runner 2049"
"Linguist works with the military to communicate with alien newcomers Amy Adams","Arrival"
"Programmer is invited to test the human qualities of a highly advanced humanoid AI","Ex Machina"
"Lonely writer develops an unlikely relationship with an operating system","Her"
"Young African-American visits his white girlfriend's parents for the weekend Daniel Kaluuya","Get Out"
"Grieving family is haunted by tragic and disturbing occurrences Toni Collette","Hereditary"
"Family heads to an isolated hotel for the winter where a sinister presence Jack Nicholson","The Shining"
"Hunter stumbles upon a drug deal gone wrong and more than two million dollars","No Country for Old Men"
"Idealistic FBI agent is enlisted by a government task force to aid in the war on drugs","Sicario"
"When his daughter and her friend go missing a father takes matters into his own hands","Prisoners"
"A con man enters the world of L.A. crime journalism Jake Gyllenhaal","Nightcrawler"
